battery_level,c02_level,cca2,cca3,cn,device_id,device_name,humidity,ip,latitude,lcd,longitude,scale,temp,timestamp
7,1522,JP,JPN,Japan,22,sensor-pad-22oWV2D,58,221.113.129.83,35.69,red,139.69,Celsius,24,1458444054132
5,1245,IN,IND,India,23,meter-gauge-230IupA,47,59.90.65.1,12.98,yellow,77.58,Celsius,23,1458444054133
8,1511,CA,CAN,Canada,24,sensor-pad-24PytzD00Cp,73,69.90.67.1,43.85,red,-79.33,Celsius,28,1458444054133
4,880,US,USA,United States,25,therm-stick-25kK6VyzIFB,78,24.154.45.90,41.1,green,-80.76,Celsius,27,1458444054134
9,1300,JP,JPN,Japan,26,sensor-pad-26rAyCZQOQH9,27,210.158.147.11,35.69,yellow,139.69,Celsius,10,1458444054135
5,1597,KR,KOR,Republic of Korea,27,device-mac-27P5wf2,73,218.239.168.1,37.57,red,126.98,Celsius,10,1458444054135
3,1502,KR,KOR,Republic of Korea,28,sensor-pad-28Tsudcoikw,64,211.238.224.77,37.29,red,127.01,Celsius,25,1458444054136
6,1095,NL,NLD,Netherlands,29,meter-gauge-29lyNVxIS,69,83.98.224.49,52.37,yellow,4.9,Celsius,15,1458444054137
6,992,US,USA,United States,30,sensor-pad-30FC7VCyFp0i,46,66.225.253.47,41.85,green,-87.65,Celsius,14,1458444054137
5,979,ES,ESP,Spain,31,meter-gauge-31bcRD8TqXry,48,80.251.64.1,40.4,green,-3.68,Celsius,11,1458444054138
8,1262,US,USA,United States,32,sensor-pad-329KFvY,30,128.83.9.146,30.3,yellow,-97.74,Celsius,19,1458444054139
3,835,RU,RUS,Russia,33,device-mac-33B94GfPzi,30,178.23.147.134,55.75,green,37.62,Celsius,15,1458444054139
7,940,RU,RUS,Russia,34,sensor-pad-34F1Jubre3B,89,80.255.179.78,57.62,green,39.86,Celsius,27,1458444054140
7,1131,CN,CHN,China,35,therm-stick-35Lg804z,35,124.164.2.186,35,yellow,105,Celsius,21,1458444054141
1,1305,CY,CYP,Cyprus,36,sensor-pad-36VQv8fnEg,47,213.7.14.1,35,yellow,33,Celsius,24,1458444054141
5,881,JP,JPN,Japan,37,meter-gauge-3773dlrR,76,211.128.96.230,35.69,green,139.69,Celsius,10,1458444054142
5,1345,FR,FRA,France,38,sensor-pad-38hWAVaS,90,193.51.189.61,48.86,yellow,2.35,Celsius,16,1458444054143
2,908,CN,CHN,China,39,device-mac-39iklYVtvBT,84,218.7.15.1,45.75,green,126.65,Celsius,17,1458444054144
2,1224,FR,FRA,France,40,sensor-pad-40NjeMqS,27,188.7.9.1,49.17,yellow,6.19,Celsius,34,1458444054145
6,1200,IT,ITA,Italy,41,meter-gauge-41oj7N18qG8s,77,212.103.205.250,42.83,yellow,12.83,Celsius,20,1458444054146
7,1313,ES,ESP,Spain,42,sensor-pad-42I0jjE,40,62.82.3.66,41.39,yellow,2.16,Celsius,20,1458444054147
2,913,ES,ESP,Spain,43,meter-gauge-43RYonsvaW,39,80.81.64.142,40.4,green,-3.68,Celsius,12,1458444054148
0,917,DE,DEU,Germany,44,sensor-pad-448DeWGL,63,62.128.16.74,49.46,green,11.1,Celsius,27,1458444054149
4,985,IT,ITA,Italy,45,device-mac-45fN2COZF4cM,74,213.140.20.230,42.83,green,12.83,Celsius,26,1458444054149
8,857,US,USA,United States,46,sensor-pad-46MiQ33UDaaa,63,65.5.48.253,36.17,green,-86.78,Celsius,12,1458444054150
3,1454,UA,UKR,Ukraine,47,meter-gauge-47WsF9s8,90,195.178.145.209,50.45,red,30.52,Celsius,29,1458444054151
9,986,FR,FRA,France,48,sensor-pad-48jt4eL,97,90.37.208.1,43.88,green,4.9,Celsius,31,1458444054151
4,967,US,USA,United States,49,meter-gauge-49YesGXwt,70,170.37.224.1,42.28,green,-71.44,Celsius,25,1458444054152
6,1217,DE,DEU,Germany,50,sensor-pad-50g2ukc,69,62.153.177.73,51,yellow,9,Celsius,29,1458444054152
5,921,GB,GBR,United Kingdom,51,device-mac-51iy02vXU,64,146.97.40.113,51.5,green,-0.13,Celsius,13,1458444054153
2,1032,US,USA,United States,52,sensor-pad-52eFObBC,34,72.49.128.1,38,yellow,-97,Celsius,10,1458444054153
8,1446,SE,SWE,Sweden,53,meter-gauge-534fDwDPf,68,80.89.168.34,59.33,red,18.07,Celsius,20,1458444054154
8,1436,US,USA,United States,54,sensor-pad-5410CWPrNb6,73,204.15.64.249,32.89,red,-117.13,Celsius,34,1458444054155
7,997,CN,CHN,China,55,therm-stick-55kEAHLqWn0,29,124.160.81.22,30.29,green,120.16,Celsius,18,1458444054156
5,1038,TH,THA,Thailand,56,sensor-pad-564BJDqo,67,203.130.148.41,13.75,yellow,100.47,Celsius,30,1458444054157
6,1503,US,USA,United States,57,device-mac-57tRB0uMlvSb,40,64.246.146.13,42.66,red,-73.75,Celsius,22,1458444054158
4,1105,MX,MEX,Mexico,58,sensor-pad-58HgZVw0,96,200.76.250.4,32.53,yellow,-117.02,Celsius,14,1458444054159
8,1242,GB,GBR,United Kingdom,59,meter-gauge-59yhdg6rHM,26,86.189.54.129,51.5,yellow,-0.13,Celsius,33,1458444054159
6,1206,DE,DEU,Germany,60,sensor-pad-60z8B04PJh,80,134.61.64.1,51.45,yellow,7.02,Celsius,23,1458444054160
7,1160,FR,FRA,France,61,meter-gauge-61NehO8Msi,93,86.198.202.1,48.86,yellow,2.35,Celsius,16,1458444054160
3,1082,US,USA,United States,62,sensor-pad-62fH8oKr8aiT,31,151.198.215.1,38,yellow,-97,Celsius,27,1458444054161
4,1090,US,USA,United States,63,device-mac-63GL4xSaZbj,91,66.198.198.1,44.56,yellow,-105.67,Celsius,31,1458444054162
3,1524,US,USA,United States,64,sensor-pad-64djcIn,55,38.99.198.186,38,red,-97,Celsius,12,1458444054162
3,872,CL,CHL,Chile,65,therm-stick-65V4WstIg,28,64.76.146.154,-33.45,green,-70.67,Celsius,23,1458444054163
8,1482,CZ,CZE,Czech Republic,66,sensor-pad-663dzoWk2U3,26,213.210.151.1,49.98,red,14.73,Celsius,10,1458444054163
6,947,IT,ITA,Italy,67,meter-gauge-67E75oX,46,78.110.188.6,45.47,green,9.2,Celsius,23,1458444054164
5,1250,US,USA,United States,68,sensor-pad-682gym3oKv,81,216.83.68.103,42.4,yellow,-113.78,Celsius,12,1458444054164
4,825,HR,HRV,Croatia,69,device-mac-69kjyS4IgN,25,194.146.109.12,45.17,green,15.5,Celsius,10,1458444054165
8,1399,US,USA,United States,70,sensor-pad-707OD4ui6U,54,137.164.46.143,33.82,yellow,-118.04,Celsius,26,1458444054165
8,934,BY,BLR,Belarus,71,meter-gauge-712JgErD0zVw,43,195.222.71.1,53.9,green,27.57,Celsius,17,1458444054166
3,949,FI,FIN,Finland,72,sensor-pad-72c0to9,64,80.222.48.1,63.2,green,23.02,Celsius,25,1458444054166
4,943,US,USA,United States,73,meter-gauge-73MhL2W,92,209.251.80.58,42.73,green,-87.87,Celsius,26,1458444054167
5,1323,CN,CHN,China,74,sensor-pad-74E5pQZOTx,25,121.33.241.193,23.12,yellow,113.25,Celsius,10,1458444054168
6,1328,AT,AUT,Austria,75,device-mac-75OLmCeTdSwc,96,143.161.246.65,48.2,yellow,16.37,Celsius,12,1458444054168
9,1212,US,USA,United States,76,sensor-pad-76h137fwB6,74,208.103.221.1,38.87,yellow,-87.67,Celsius,20,1458444054169
1,1454,IN,IND,India,77,meter-gauge-77IKW3YAB55,82,218.248.255.30,12.98,red,77.58,Celsius,17,1458444054169
6,1493,KR,KOR,Republic of Korea,78,sensor-pad-78PkeI6U7td8,35,222.234.0.1,37.57,red,126.98,Celsius,25,1458444054170
3,1291,CN,CHN,China,79,meter-gauge-79pb40uAO,48,219.158.12.62,35,yellow,105,Celsius,23,1458444054170
0,1233,CA,CAN,Canada,80,sensor-pad-80TY4dWSMH,57,159.128.0.181,50.01,yellow,-97.22,Celsius,32,1458444054171
4,1072,PH,PHL,Philippines,81,device-mac-81nsKomrRe,90,222.127.71.1,14.55,yellow,121.04,Celsius,31,1458444054172
3,1076,FR,FRA,France,82,sensor-pad-82HJm6yP,76,213.162.50.33,48.86,yellow,2.35,Celsius,32,1458444054172
9,1221,DE,DEU,Germany,83,meter-gauge-83lLWufdrzWE,96,62.214.32.222,51,yellow,9,Celsius,31,1458444054173
1,941,JP,JPN,Japan,84,sensor-pad-84jla9J5O,31,122.133.0.26,35.69,green,139.69,Celsius,27,1458444054174
1,1028,US,USA,United States,85,therm-stick-85NcuaO,88,205.213.119.42,43.06,yellow,-89.41,Celsius,17,1458444054174
9,1167,ID,IDN,Indonesia,86,sensor-pad-86NCIl72NBUJ,26,202.55.169.189,-6.17,yellow,106.83,Celsius,23,1458444054175
1,1212,US,USA,United States,87,device-mac-87EJxth2l,38,204.16.48.130,33.42,yellow,-86.68,Celsius,25,1458444054175
5,894,CH,CHE,Switzerland,88,sensor-pad-88nm5Thggzs,29,85.218.127.93,47,green,8,Celsius,32,1458444054176
9,1423,DE,DEU,Germany,89,meter-gauge-89fFsrU29QEU,97,217.160.140.235,51,red,9,Celsius,19,1458444054176
8,1244,DE,DEU,Germany,90,sensor-pad-90SuYQ8Ff0,44,213.214.12.66,51,yellow,9,Celsius,13,1458444054177
3,928,SE,SWE,Sweden,91,meter-gauge-913q78Z1wkK,97,62.20.110.1,60.13,green,13,Celsius,28,1458444054177
0,1021,KR,KOR,Republic of Korea,92,sensor-pad-92vxuq7e,52,211.195.95.61,37.57,yellow,126.98,Celsius,28,1458444054178
4,918,RU,RUS,Russia,93,device-mac-93FXnVpo,42,195.19.194.77,61.67,green,50.81,Celsius,17,1458444054178
8,1290,US,USA,United States,94,sensor-pad-94HL9jChD,66,24.32.26.1,39.33,yellow,-120.25,Celsius,28,1458444054179
5,1553,EC,ECU,Ecuador,95,therm-stick-95LXCTWLh,46,200.25.144.102,-2.17,red,-79.9,Celsius,26,1458444054179
6,938,LT,LTU,Republic of Lithuania,96,sensor-pad-96Fzitfx11wj,96,84.32.38.1,56,green,24,Celsius,10,1458444054180
8,1593,JP,JPN,Japan,97,meter-gauge-97K6lrYGS6,60,124.32.46.1,35.69,red,139.75,Celsius,33,1458444054180
0,952,US,USA,United States,98,sensor-pad-98mJQAfJpfW,50,12.116.241.94,38,green,-97,Celsius,22,1458444054181
2,1131,US,USA,United States,99,device-mac-99Xh5YsPAzOU,27,146.82.204.36,42.4,yellow,-71.26,Celsius,22,1458444054181
5,1186,BE,BEL,Belgium,100,sensor-pad-1009LusgoDso,48,217.113.83.247,50.85,yellow,4.35,Celsius,18,1458444054182
4,854,US,USA,United States,101,meter-gauge-101LT6cP,91,66.83.105.10,36.07,green,-79.79,Celsius,11,1458444054182
2,1217,US,USA,United States,102,sensor-pad-102D03GaohQkq,89,130.94.149.242,39.62,yellow,-104.87,Celsius,10,1458444054183
6,1432,KR,KOR,Republic of Korea,103,meter-gauge-1033MbvVmET7L,58,211.169.211.1,37.57,red,126.98,Celsius,10,1458444054183
3,1252,US,USA,United States,104,sensor-pad-104Hk2i8,76,208.49.44.2,40.5,yellow,-80.08,Celsius,29,1458444054184
7,1154,US,USA,United States,105,device-mac-1058nN4WSY9XD,71,64.65.104.235,21.32,yellow,-157.84,Celsius,27,1458444054185
8,1089,JP,JPN,Japan,106,sensor-pad-106OiAQcnA48,60,150.99.186.37,35.69,yellow,139.69,Celsius,16,1458444054186
0,1553,JP,JPN,Japan,107,meter-gauge-1075KSUDRjPa,93,163.139.227.70,35.69,red,139.69,Celsius,22,1458444054186
2,1182,US,USA,United States,108,sensor-pad-108NG6gl2jPi,82,208.35.184.254,34.2,yellow,-118.82,Celsius,34,1458444054187
6,852,US,USA,United States,109,meter-gauge-109PooBS,80,24.29.148.73,38,green,-97,Celsius,32,1458444054188
7,1412,HU,HUN,Hungary,110,sensor-pad-110djsARyn,48,152.66.14.3,47.5,red,19.08,Celsius,34,1458444054189
0,899,AU,AUS,Australia,111,device-mac-111WYtjxe1b,32,203.123.94.193,-27,green,133,Celsius,16,1458444054189
8,1449,VE,VEN,Venezuela,112,sensor-pad-112pG1EIEbMi,46,200.47.106.254,10.5,red,-66.92,Celsius,19,1458444054190
1,1163,SG,SGP,Singapore,113,meter-gauge-113yfSV5qK,32,210.193.58.1,1.29,yellow,103.86,Celsius,18,1458444054191
8,1057,JP,JPN,Japan,114,sensor-pad-114kolA2Y,30,160.193.48.1,34.69,yellow,135.52,Celsius,33,1458444054192
1,876,CZ,CZE,Czech Republic,115,therm-stick-115CQYYpj,85,217.198.117.2,50.08,green,14.42,Celsius,27,1458444054192
0,1480,US,USA,United States,116,sensor-pad-11663yUf,77,65.40.86.249,38,red,-97,Celsius,19,1458444054193
0,1538,CN,CHN,China,117,device-mac-117mccYyRo,41,211.137.250.166,35,red,105,Celsius,29,1458444054194
6,905,CA,CAN,Canada,118,sensor-pad-118LhAs6l9HDI,41,24.215.34.53,43.23,green,-79.87,Celsius,28,1458444054195
3,1541,TH,THA,Thailand,119,meter-gauge-119M2q62ttS,85,210.86.129.1,13.75,red,100.47,Celsius,18,1458444054196
4,829,IL,ISR,Israel,120,sensor-pad-120HT4epXH9j,57,95.86.106.1,31.5,green,34.75,Celsius,10,1458444054197
1,1360,US,USA,United States,121,meter-gauge-121R9rukaY2,91,68.85.158.77,38,yellow,-97,Celsius,24,1458444054198
6,1096,IE,IRL,Ireland,122,sensor-pad-122eSbhvhLPCv,71,81.21.148.38,53.75,yellow,-9.12,Celsius,27,1458444054198
0,1520,US,USA,United States,123,device-mac-123zvY7uWFB,33,208.250.26.135,38,red,-97,Celsius,29,1458444054199
7,1360,US,USA,United States,124,sensor-pad-124b8sCFB,64,72.34.37.168,34.04,yellow,-118.25,Celsius,26,1458444054200
1,1206,RU,RUS,Russia,125,therm-stick-125X3edirdM,87,82.116.1.82,61.25,yellow,73.42,Celsius,17,1458444054200
9,918,KR,KOR,Republic of Korea,126,sensor-pad-1269atdM0jAk,27,222.98.55.1,37.57,green,126.98,Celsius,31,1458444054201
3,1007,JP,JPN,Japan,127,meter-gauge-127jwKuJMYb90,40,219.103.112.2,35.69,yellow,139.69,Celsius,18,1458444054202
1,1193,GB,GBR,United Kingdom,128,sensor-pad-128FCJAk99Zr,68,217.180.15.171,51.5,yellow,-0.13,Celsius,30,1458444054203
2,1405,ID,IDN,Indonesia,129,device-mac-129noCEfOX,95,202.162.38.90,-7.78,red,110.36,Celsius,11,1458444054203
7,860,US,USA,United States,130,sensor-pad-130QcD7KHEM,27,63.218.164.50,38.98,green,-77.38,Celsius,29,1458444054204
0,1133,US,USA,United States,131,meter-gauge-131LbuCgFDFfz,68,207.165.237.193,43.15,yellow,-93.21,Celsius,16,1458444054204
5,1069,EE,EST,Estonia,132,sensor-pad-1325DdN3NiTBj,71,194.126.113.134,59,yellow,26,Celsius,26,1458444054205
2,929,CZ,CZE,Czech Republic,133,meter-gauge-133ReblmhHY,84,109.235.180.1,50.08,green,14.42,Celsius,27,1458444054205
0,804,US,USA,United States,134,sensor-pad-1344UGR6ipMd,76,65.103.30.102,38,green,-97,Celsius,23,1458444054206
3,875,ME,MNE,Montenegro,135,device-mac-135kwwdl,84,195.66.190.222,42.44,green,19.26,Celsius,16,1458444054206
5,1477,CN,CHN,China,136,sensor-pad-1362BAqBEt,82,211.161.47.10,39.93,red,116.39,Celsius,26,1458444054207
2,883,TW,TWN,Taiwan,137,meter-gauge-137Nwxa4DPkwt,55,203.188.192.169,23.5,green,121,Celsius,27,1458444054207
9,1026,BE,BEL,Belgium,138,sensor-pad-138IL80JDR0CU,65,81.247.98.1,50.85,yellow,4.35,Celsius,22,1458444054208
2,1438,KR,KOR,Republic of Korea,139,meter-gauge-139M6B7CfDEae,86,61.247.94.1,37.29,red,127.01,Celsius,15,1458444054208
0,1261,DE,DEU,Germany,140,sensor-pad-140tq1s6t,39,213.252.182.2,51,yellow,9,Celsius,20,1458444054209
1,1515,KR,KOR,Republic of Korea,141,device-mac-1415eVerqCBp,93,211.247.124.1,37.32,red,126.82,Celsius,18,1458444054209
3,808,JP,JPN,Japan,142,sensor-pad-142ZlCMJM7,43,221.247.126.1,35.69,green,139.75,Celsius,32,1458444054210
9,1118,US,USA,United States,143,meter-gauge-143DaKT9guwo,97,209.161.21.60,43.71,yellow,-116.19,Celsius,13,1458444054210
4,1188,DK,DNK,Denmark,144,sensor-pad-144T0J4k,87,212.242.41.50,55.68,yellow,12.57,Celsius,31,1458444054211
1,1006,GB,GBR,United Kingdom,145,therm-stick-145zkVxKWgx,39,212.187.201.89,51.5,yellow,-0.13,Celsius,27,1458444054211
2,1562,US,USA,United States,146,sensor-pad-146YKkPApKAmz,73,169.130.96.205,38,red,-97,Celsius,28,1458444054212
6,1358,US,USA,United States,147,device-mac-147LitDjFCGsm,27,63.145.223.2,33.42,yellow,-117.62,Celsius,22,1458444054212
8,912,KR,KOR,Republic of Korea,148,sensor-pad-148bD6PWYnL,49,221.140.197.1,37.57,green,126.98,Celsius,25,1458444054213
9,1156,US,USA,United States,149,meter-gauge-149lYJiVVP,64,68.87.185.194,38,yellow,-97,Celsius,14,1458444054213
6,1405,US,USA,United States,150,sensor-pad-150E4MQ1I7I,99,12.169.60.2,38,red,-97,Celsius,24,1458444054214
0,1323,CN,CHN,China,151,meter-gauge-151GjiQlha5Gq,79,220.164.44.1,25.04,yellow,102.72,Celsius,17,1458444054214
6,951,IT,ITA,Italy,152,sensor-pad-152FAZswwF740,25,140.164.28.1,40.86,green,14.25,Celsius,11,1458444054215
6,1201,EG,EGY,Egypt,153,device-mac-1535rtr4Bw4hD,96,163.121.192.146,30.08,yellow,31.29,Celsius,32,1458444054215
3,1051,DK,DNK,Denmark,154,sensor-pad-154IGupEXeRO,82,80.164.16.1,55.68,yellow,12.57,Celsius,24,1458444054216
2,1326,US,USA,United States,155,therm-stick-155Q8NNDE6hc,93,207.47.73.105,33.83,yellow,-117.87,Celsius,23,1458444054216
0,1021,CN,CHN,China,156,sensor-pad-156nfjyi4czw,29,211.139.151.21,42.77,yellow,129.34,Celsius,24,1458444054217
6,1521,GB,GBR,United Kingdom,157,meter-gauge-157XyFxAnJ,87,83.146.16.226,51.5,red,-0.13,Celsius,32,1458444054217
2,922,CN,CHN,China,158,sensor-pad-158SPYkPKXf,77,122.157.56.202,45.75,green,126.65,Celsius,30,1458444054217
1,1055,US,USA,United States,159,device-mac-159wxHwTv,26,207.99.35.138,40.94,yellow,-74.66,Celsius,13,1458444054218
9,1005,MX,MEX,Mexico,160,sensor-pad-160O5fWChUtEd,51,132.247.251.14,28.97,yellow,-111.67,Celsius,11,1458444054218
7,985,NL,NLD,Netherlands,161,meter-gauge-161E8l3Pm,51,213.51.139.26,52.37,green,4.9,Celsius,27,1458444054219
1,1565,US,USA,United States,162,sensor-pad-162AFoXZ4wxyj,91,208.111.10.38,28.53,red,-81.41,Celsius,26,1458444054219
3,943,US,USA,United States,163,meter-gauge-163aEud9ec,41,65.98.64.214,40.71,green,-74.21,Celsius,12,1458444054220
6,974,UA,UKR,Ukraine,164,sensor-pad-164kRggV,53,91.196.121.105,50.43,green,30.52,Celsius,30,1458444054220
3,883,DE,DEU,Germany,165,device-mac-16554vgX,26,213.198.5.3,51,green,9,Celsius,10,1458444054221
5,1500,CN,CHN,China,166,sensor-pad-166l1yEA,41,220.163.0.21,25.04,red,102.72,Celsius,18,1458444054221
0,1532,US,USA,United States,167,meter-gauge-167c49F2rsfd,91,130.81.20.107,38,red,-97,Celsius,18,1458444054222
1,1024,US,USA,United States,168,sensor-pad-168jsmHIvZoQ,44,72.194.233.1,38,yellow,-97,Celsius,30,1458444054222
5,1469,US,USA,United States,169,meter-gauge-169Csr7y7Bv4W,67,69.10.78.169,40.69,red,-74.02,Celsius,12,1458444054223
7,1036,PL,POL,Poland,170,sensor-pad-1703fywiW,63,212.87.11.82,52.25,yellow,21,Celsius,32,1458444054223
9,1047,GB,GBR,United Kingdom,171,device-mac-171U5hrN9,69,87.194.236.1,51.5,yellow,-0.13,Celsius,26,1458444054224
8,826,IL,ISR,Israel,172,sensor-pad-172JgGCJZ0ver,86,87.69.12.1,32.02,green,34.81,Celsius,16,1458444054224
9,1487,CN,CHN,China,173,meter-gauge-173JDs5PEm3X,74,218.2.249.90,32.06,red,118.78,Celsius,19,1458444054224
6,1243,PK,PAK,Pakistan,174,sensor-pad-174a8bvORaZd,91,202.69.35.1,31.49,yellow,74.37,Celsius,14,1458444054225
4,1141,CA,CAN,Canada,175,therm-stick-175pShgFa,46,168.144.73.16,43.63,yellow,-79.36,Celsius,27,1458444054225
9,1076,GB,GBR,United Kingdom,176,sensor-pad-176lYr3wh,33,212.69.37.1,51.5,yellow,-0.13,Celsius,25,1458444054226
5,1215,RU,RUS,Russia,177,device-mac-177LUZKzT7M,90,62.69.7.1,55.75,yellow,37.62,Celsius,34,1458444054226
3,1509,GR,GRC,Greece,178,sensor-pad-178naPCEpbc,79,77.69.10.1,37.97,red,23.72,Celsius,17,1458444054227
0,978,US,USA,United States,179,meter-gauge-1794X82qoL,51,74.201.124.206,38,green,-97,Celsius,25,1458444054227
0,1234,ZA,ZAF,South Africa,180,sensor-pad-180lj1Gh9L6cP,99,155.232.6.161,-33.98,yellow,18.4,Celsius,16,1458444054227
6,970,US,USA,United States,181,meter-gauge-181nX07JkjvbL,57,209.183.177.125,39.96,green,-105.17,Celsius,23,1458444054228
7,1277,JP,JPN,Japan,182,sensor-pad-182pBycX,47,160.28.20.94,43.33,yellow,144.37,Celsius,11,1458444054228
6,1144,US,USA,United States,183,device-mac-183F1Kwzon,99,209.206.184.1,38,yellow,-97,Celsius,10,1458444054229
2,1297,DE,DEU,Germany,184,sensor-pad-1844qgSW,52,129.206.168.1,48.77,yellow,9.18,Celsius,14,1458444054229
0,803,US,USA,United States,185,therm-stick-185hLXCLeDto,62,66.218.79.1,37.42,green,-122.01,Celsius,11,1458444054229
3,1522,KR,KOR,Republic of Korea,186,sensor-pad-186cRwjgGbRya,88,203.246.170.134,37.57,red,126.98,Celsius,33,1458444054230
9,1207,US,USA,,187,meter-gauge-1874SnnqzQ,40,195.47.239.68,0,yellow,0,Celsius,23,1458444054230
9,1272,US,USA,United States,188,sensor-pad-188iU1bREB0,54,24.99.218.1,34.03,yellow,-84.6,Celsius,31,1458444054231
7,1277,FR,FRA,France,189,device-mac-189WabQobO,37,84.99.230.1,48.8,yellow,2.16,Celsius,13,1458444054231
8,904,US,USA,United States,190,sensor-pad-190L9K1jSpR,48,63.84.52.254,40.88,green,-84.59,Celsius,21,1458444054231
6,1429,DE,DEU,Germany,191,meter-gauge-191Ln4B5qM,88,134.99.240.1,51.45,red,7.02,Celsius,25,1458444054232
4,1212,US,USA,United States,192,sensor-pad-192lSdba2iz4,68,64.19.98.35,33.99,yellow,-96.39,Celsius,34,1458444054232
4,1023,SE,SWE,Sweden,193,meter-gauge-193PftCEsRxme,79,195.54.105.67,59.33,yellow,18.07,Celsius,26,1458444054233
2,865,US,USA,United States,194,sensor-pad-194RmwXLdwEb,75,76.111.152.1,38.31,green,-75.24,Celsius,26,1458444054233
0,1329,US,USA,United States,195,device-mac-195EFN3e8fAcg,92,192.84.2.148,39.96,yellow,-75.2,Celsius,19,1458444054234
0,1592,FR,FRA,France,196,sensor-pad-196gGPVR0,72,82.150.249.110,48.86,red,2.35,Celsius,21,1458444054234
4,1130,US,USA,United States,197,meter-gauge-197kbVAoO,72,128.123.86.1,32.27,yellow,-106.75,Celsius,14,1458444054234
4,1433,US,USA,United States,198,sensor-pad-198i0dgLr,95,63.123.73.1,29.75,red,-95.61,Celsius,27,1458444054235
3,1358,US,USA,United States,199,meter-gauge-1999DIRTnt,87,138.123.88.1,39.64,yellow,-75.62,Celsius,15,1458444054235
5,814,US,USA,United States,200,sensor-pad-200P0imILHSKs,60,208.123.102.1,26.22,green,-98.24,Celsius,33,1458444054236
7,882,KR,KOR,Republic of Korea,201,device-mac-201DZBLp,52,58.123.72.1,37.57,green,126.98,Celsius,17,1458444054236
4,961,US,USA,United States,202,sensor-pad-2026uC0k1R,67,68.86.208.121,38,green,-97,Celsius,12,1458444054236
3,948,NL,NLD,Netherlands,203,meter-gauge-203ChgYU,69,213.46.173.138,52.37,green,4.9,Celsius,25,1458444054237
9,1472,FR,FRA,France,204,sensor-pad-204eDpACN,91,193.251.73.179,48.86,red,2.35,Celsius,19,1458444054237
1,868,KR,KOR,Republic of Korea,205,therm-stick-2058hyWUmpLm9,39,61.4.220.1,37.45,green,126.73,Celsius,13,1458444054238
1,1349,CZ,CZE,Czech Republic,206,sensor-pad-206hBHKRstZn,55,85.135.1.1,50.08,yellow,14.42,Celsius,24,1458444054238
5,1454,BE,BEL,Belgium,207,device-mac-2071N0XPqE3,58,193.74.208.65,50.85,red,4.35,Celsius,10,1458444054239
9,1267,JP,JPN,Japan,208,sensor-pad-208Nr7dPZ,42,133.11.125.206,35.69,yellow,139.69,Celsius,27,1458444054239
